direction,width,size_exp,pattern,repeats,timing_model,baseline_ticks,pim_ticks,speedup,baseline_checksum,pim_checksum
chain,32,0,0,1,1,43701180000,42003118000,1.0404270463921275,2000216406243065201,2000216406243065201
chain,32,0,0,2,1,51266367000,44936190000,1.140870354162202,742203418287984910,742203418287984910
chain,32,0,0,4,1,66431205000,50815748000,1.307295624183275,17452992250574665459,17452992250574665459
chain,32,0,0,8,1,96735479000,62549690000,1.546538104345521,9654233396875064799,9654233396875064799
chain,32,0,0,16,1,157207156000,86074672000,1.8264043573700752,2937876661563326216,2937876661563326216
chain,32,1,0,1,1,73493135000,67422450000,1.0900395194775627,11824619395543620615,11824619395543620615
chain,32,1,0,2,1,88579065000,73135837000,1.211158149458247,16297411486398288531,16297411486398288531
chain,32,1,0,4,1,118730905000,84548244000,1.404297704870133,10977343673711518766,10977343673711518766
chain,32,1,0,8,1,179029467000,107366031000,1.667468428631771,7716965577253633952,7716965577253633952
chain,32,1,0,16,1,299729901000,153081401000,1.9579772528995865,177915426545675505,177915426545675505
chain,32,2,0,1,1,133197558000,118286305000,1.1260606880906459,6963949761851870393,6963949761851870393
chain,32,2,0,2,1,163290419000,129552571000,1.260418205054379,6638547348371939445,6638547348371939445
chain,32,2,0,4,1,223443403000,152051911000,1.4695205178973383,15599405718965396722,15599405718965396722
chain,32,2,0,8,1,343736924000,197042028000,1.7444853135596026,7270225203082584473,7270225203082584473
chain,32,2,0,16,1,584371770000,287076321000,2.0355972515058114,17521559556876818818,17521559556876818818
chain,32,3,0,1,1,252695233000,220156977000,1.1477957066970446,11426437723633395787,11426437723633395787
chain,32,3,0,2,1,312946395000,242528795000,1.2903473791637814,16642914272103291264,16642914272103291264
chain,32,3,0,4,1,433363399000,287187401000,1.5089916810104076,1956789673984954958,1956789673984954958
chain,32,3,0,8,1,674214244000,376512632000,1.7906816045417568,14483312704609356332,14483312704609356332
chain,32,3,0,16,1,1156001708000,555174934000,2.082229649078501,4532581021852066645,4532581021852066645
left,8,0,0,1,1,19539934000,19034974000,1.0265280110180346,7417961230615284464,7417961230615284464
left,8,1,0,1,1,27027688000,25209192000,1.0721362271349275,12909010472451573906,12909010472451573906
left,8,2,0,1,1,41982405000,37530900000,1.1186090661295094,6716552057323418785,6716552057323418785
left,8,3,0,1,1,71854633000,62200717000,1.1552058636237263,6591656969425692871,6591656969425692871
left,16,0,0,1,1,27412436000,25900943000,1.0583566783649538,13724478860254208101,13724478860254208101
left,16,1,0,1,1,42435660000,38207214000,1.1106714035731577,14402276443637394061,14402276443637394061
left,16,2,0,1,1,72230136000,62855543000,1.1491450483531738,14490473603300449158,14490473603300449158
left,16,3,0,1,1,131996123000,112222136000,1.176203979934939,14996502168656783673,14996502168656783673
left,32,0,0,1,1,43099200000,39614239000,1.0879724333465046,2000216406243065201,2000216406243065201
left,32,1,0,1,1,73050816000,64266763000,1.1366811177342167,11824619395543620615,11824619395543620615
left,32,2,0,1,1,132660506000,113567643000,1.1681188628701222,6963949761851870393,6963949761851870393
left,32,3,0,1,1,252394121000,212248897000,1.1891422031747945,11426437723633395787,11426437723633395787
left,64,0,0,1,1,74552365000,67026553000,1.1122810537489523,3201099461991668946,3201099461991668946
