
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000002                       # Number of seconds simulated (Second)
simTicks                                      2097000                       # Number of ticks simulated (Tick)
finalTick                                   139679000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.03                       # Real time elapsed on the host (Second)
hostTickRate                                 70549051                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8580448                       # Number of bytes of host memory used (Byte)
simInsts                                          249                       # Number of instructions simulated (Count)
simOps                                            418                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                     8350                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      14017                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                             4194                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              16.843373                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.059371                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                             531                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        2                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                            509                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      1                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                  120                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined               137                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples                4194                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.121364                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.761465                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                      4059     96.78%     96.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                        25      0.60%     97.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                        21      0.50%     97.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                        22      0.52%     98.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                        12      0.29%     98.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                        18      0.43%     99.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                        23      0.55%     99.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                        12      0.29%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         2      0.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                  4194                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       6     85.71%     85.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     85.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     85.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     85.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     85.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     85.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     85.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     85.71% # attempts to use FU when none available (Count)
