
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000006                       # Number of seconds simulated (Second)
simTicks                                      6368000                       # Number of ticks simulated (Tick)
finalTick                                   129344000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.12                       # Real time elapsed on the host (Second)
hostTickRate                                 55107003                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8580444                       # Number of bytes of host memory used (Byte)
simInsts                                        50332                       # Number of instructions simulated (Count)
simOps                                          74399                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   435183                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     643256                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                            12736                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.253040                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               3.951947                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                           75431                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        4                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                          74835                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     33                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 1221                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              2924                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples               12736                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               5.875864                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.564545                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                       264      2.07%      2.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                       205      1.61%      3.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                       262      2.06%      5.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                       446      3.50%      9.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                       518      4.07%     13.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                       843      6.62%     19.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      5068     39.79%     59.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      4967     39.00%     98.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       163      1.28%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                 12736                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    4615     97.34%     97.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     97.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     97.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     97.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     97.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     97.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     97.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     97.34% # attempts to use FU when none available (Count)
