
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000002                       # Number of seconds simulated (Second)
simTicks                                      2092000                       # Number of ticks simulated (Tick)
finalTick                                   135909000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.04                       # Real time elapsed on the host (Second)
hostTickRate                                 59418314                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8580444                       # Number of bytes of host memory used (Byte)
simInsts                                          223                       # Number of instructions simulated (Count)
simOps                                            375                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                     6319                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      10626                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                             4184                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              18.762332                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.053298                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                             466                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        2                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                            437                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      6                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                  114                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined               168                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples                4184                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.104446                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.727414                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                      4074     97.37%     97.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                        20      0.48%     97.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                        18      0.43%     98.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                        11      0.26%     98.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                        11      0.26%     98.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                        17      0.41%     99.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                        15      0.36%     99.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                        15      0.36%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         3      0.07%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                  4184                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       9     90.00%     90.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     90.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     90.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     90.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     90.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     90.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     90.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     90.00% # attempts to use FU when none available (Count)
