
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000007                       # Number of seconds simulated (Second)
simTicks                                      6793000                       # Number of ticks simulated (Tick)
finalTick                                   130996000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.13                       # Real time elapsed on the host (Second)
hostTickRate                                 51579739                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8580444                       # Number of bytes of host memory used (Byte)
simInsts                                        55324                       # Number of instructions simulated (Count)
simOps                                          84519                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   419840                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     641384                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                            13586                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.245572                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               4.072133                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                           86138                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        4                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                          85387                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    196                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 1754                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              6256                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples               13439                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               6.353672                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.631838                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                       222      1.65%      1.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                       200      1.49%      3.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                       242      1.80%      4.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                       361      2.69%      7.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                       316      2.35%      9.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                       591      4.40%     14.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      3717     27.66%     42.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      5221     38.85%     80.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      2569     19.12%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                 13439                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    7922     96.26%     96.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     96.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     96.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     96.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     96.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     96.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     96.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     96.26% # attempts to use FU when none available (Count)
