
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000012                       # Number of seconds simulated (Second)
simTicks                                     12299000                       # Number of ticks simulated (Tick)
finalTick                                   159224000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.04                       # Real time elapsed on the host (Second)
hostTickRate                                291542218                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8580448                       # Number of bytes of host memory used (Byte)
simInsts                                         1531                       # Number of instructions simulated (Count)
simOps                                           2451                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    36230                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      57998                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                            24598                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              16.066623                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.062241                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                            2580                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                           2553                       # Number of instructions issued (Count)
system.cpu.squashedInstsExamined                  159                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined               178                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples               24598                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.103789                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.728559                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     23978     97.48%     97.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                        88      0.36%     97.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                        89      0.36%     98.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                       102      0.41%     98.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                        49      0.20%     98.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                        96      0.39%     99.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                        88      0.36%     99.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                        87      0.35%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        21      0.09%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                 24598                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      41     95.35%     95.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     95.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     95.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     95.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     95.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     95.35% # attempts to use FU when none available (Count)
